84	3091
22	4668
18	3024
25	2443
23	2831
24	3386
17	4107
16	3271
16	577
17	651
39	710
34	758
19	635
18	666
17	647
17	672
17	631
16	584
16	600
16	602
16	727
16	16695
16	676
16	685
16	672
16	624
16	567
16	557
23	536
16	463
16	1897
16	564
16	782
16	511
16	2520
16	490
16	523
16	485
20	1080
16	728
16	683
16	3669
15	3382
16	778
16	2434
16	554
16	606
16	587
16	589
38	573
24	1220
68	572
24	655
17	575
16	575
16	539
20	538
16	1725
16	661
19	2215
78	609
17	602
43	709
26	576
21	518
21	504
21	529
21	529
21	730
62	570
23	1177
21	682
96	691
26	588
22	540
19	518
18	523
20	528
19	582
19	568
19	504
42	650
19	920
22	1046
22	564
24	567
22	529
23	578
21	555
21	721
23	557
22	928
53	736
89	600
47	591
23	539
22	868
23	629
22	1374
21	596
21	820
21	1250
22	1468
21	614
22	850
23	741
22	630
24	680
22	635
20	596
29	610
23	553
21	551
21	613
20	618
21	596
21	639
21	2883
53	623
21	2409
45	6276
21	536
26	486
27	1228
38	573
28	654
21	583
24	512
20	535
20	645
22	1055
37	863
23	701
19	548
19	541
19	538
19	498
20	696
19	661
19	512
19	508
20	1996
20	580
19	551
19	739
19	584
19	649
19	803
19	5900
22	546
21	508
19	492
21	522
22	624
19	491
19	496
19	1027
19	636
19	580
19	506
19	548
19	541
19	566
19	527
20	570
19	508
19	656
19	556
19	533
19	509
19	974
19	1209
19	656
19	604
20	572
19	554
19	566
19	586
19	528
19	522
19	4239
19	821
18	540
18	558
18	518
23	516
22	593
64	585
69	643
20	598
19	509
20	500
20	544
19	505
19	535
18	560
18	586
19	592
18	827
18	569
18	578
19	542
19	543
19	440
19	650
19	697
19	542
19	532
19	585
20	587
20	567
19	592
19	588
28	585
22	566
20	554
20	506
21	602
20	534
21	587
21	498
22	525
19	511
19	597
19	642
20	629
21	522
20	509
28	523
22	512
20	724
22	761
22	545
123	557
24	514
21	546
23	542
22	1386
20	549
21	533
21	760
18	543
19	2873
22	1505
21	727
22	633
55	752
21	4104
20	546
22	612
28	668
22	578
207	585
20	593
17	600
26	719
22	1365
24	627
23	594
20	552
20	865
19	557
19	592
19	563
19	578
19	1493
19	492
19	779
21	555
19	536
19	549
21	500
19	551
18	1084
18	678
18	570
19	570
19	533
18	1718
18	545
19	618
19	587
19	595
18	519
18	449
19	562
19	563
35	557
19	684
19	523
19	541
19	531
19	453
19	498
19	484
19	483
19	1087
21	817
18	560
19	549
19	552
19	542
19	523
18	733
18	555
19	729
19	643
19	544
18	578
19	578
19	568
18	457
19	520
21	545
18	830
18	550
47	606
21	515
19	515
19	533
19	618
18	577
53	541
21	604
19	670
24	657
21	545
20	586
19	537
21	588
20	548
18	567
24	646
21	594
25	603
22	595
73	553
25	835
20	1565
19	659
19	587
22	623
35	611
20	561
20	549
18	541
18	536
20	547
19	519
19	1036
20	506
20	546
20	504
24	536
22	541
22	527
21	546
20	669
20	512
20	529
27	501
21	473
19	1218
19	2404
20	1507
24	912
21	841
20	836
22	603
24	1499
20	823
21	821
48	989
41	799
25	802
21	758
21	772
21	769
26	1120
501	952
114	1073
31	746
22	905
19	932
17	1198
16	1078
16	1974
16	766
15	743
16	786
15	731
16	753
16	709
16	796
16	773
16	1361
18	874
17	964
17	759
16	765
16	715
16	720
16	738
19	766
21	754
18	743
20	733
230	758
72	781
32	775
20	1049
20	788
19	735
19	868
19	1207
19	963
19	824
19	815
18	992
85	759
21	770
19	747
17	736
18	781
18	967
18	738
17	770
19	716
19	782
35	778
20	779
18	735
17	689
18	647
18	2334
18	1242
18	1914
19	2100
19	1235
20	1849
19	1296
19	729
19	910
23	242
50	355
56	215
25	652
20	258
20	262
20	244
19	231
22	204
20	223
22	239
21	230
19	252
19	246
21	1624
19	253
20	245
38	212
20	243
18	231
18	400
17	243
18	228
17	222
18	190
23	212
19	226
18	201
17	394
17	465
18	430
18	250
22	224
18	197
18	180
18	216
19	426
18	213
17	291
18	234
18	219
19	199
18	205
16	234
17	212
17	193
18	349
18	406
17	231
16	190
16	212
16	199
20	159
17	197
17	188
17	156
16	734
17	232
18	445
19	731
17	224
20	217
17	172
46	187
18	205
25	338
57	296
18	298
31	501
20	901
20	439
18	235
18	262
18	256
18	262
18	409
17	272
18	234
18	232
18	228
19	188
22	1832
20	278
19	210
19	218
20	225
18	235
17	205
20	213
17	213
20	172
17	201
20	206
44	205
21	201
17	216
18	189
40	217
22	272
20	214
19	201
17	196
17	189
17	191
16	188
18	186
18	425
57	216
29	187
25	203
21	741
17	451
16	315
16	239
16	214
15	215
15	214
18	226
18	232
18	259
18	200
16	1276
15	293
15	287
15	279
15	281
15	261
15	232
18	242
31	213
16	210
16	212
15	519
15	789
15	1223
50	303
18	440
60	16323
19	250
15	297
15	254
14	212
14	287
14	226
16	240
20	539
18	194
20	1073
19	232
17	234
18	234
18	216
19	214
18	217
19	217
17	2249
15	226
61	213
43	369
18	303
15	210
15	174
15	540
16	332
15	326
14	558
16	235
17	704
17	276
18	335
17	485
14	467
14	348
14	996
14	269
14	229
14	245
14	217
17	231
18	194
16	203
15	211
14	229
36	227
14	225
14	188
18	223
21	198
16	210
17	223
17	225
103	230
19	231
23	234
25	219
17	219
20	196
18	508
19	204
18	221
17	221
18	253
15	210
14	285
15	236
17	208
18	200
17	225
16	273
15	217
15	246
16	257
15	250
15	226
15	188
15	184
15	267
16	222
15	187
15	185
16	209
16	172
17	173
17	216
16	207
17	203
17	207
17	118
55	196
27	308
15	233
14	238
14	226
16	244
17	215
14	241
14	229
13	195
13	434
13	235
13	223
13	206
14	201
17	193
16	204
15	192
16	210
16	195
15	209
14	182
13	201
14	207
13	190
13	190
13	189
13	218
16	179
22	179
16	198
17	215
20	219
15	264
17	337
18	222
17	225
18	227
20	206
14	231
14	221
17	241
16	350
17	263
17	238
19	176
17	208
17	266
17	234
18	209
18	227
17	225
18	210
14	213
13	186
13	132
14	399
13	622
13	232
15	239
